Mục,STT,Tính năng,Mô tả gốc,Đã sửa/Thêm
I. CÁ NHÂN,1,Bình chọn trong nhóm (Poll),Chưa có,Bổ sung tính năng tạo và tham gia bình chọn trong nhóm chat
I. CÁ NHÂN,2,Ghi chú cá nhân đính kèm file,Ghi chú cá nhân không hỗ trợ đính kèm file,Nâng cấp ghi chú cá nhân: cho phép đính kèm file giống chat trực tiếp
I. CÁ NHÂN,3,Xóa nút "+" ở Space,Nút "+" hiển thị ở Space gây rối giao diện,Đã xóa nút "+" ở Space vì không cần thiết
I. CÁ NHÂN,4,Tạo chủ đề (Topic),Chưa có,Bổ sung tính năng tạo chủ đề để phân loại tin nhắn trong hội thoại
I. CÁ NHÂN,5,Tìm kiếm bằng số điện thoại và QR,Chưa hỗ trợ tìm kiếm qua số điện thoại hoặc mã QR,Thêm tìm kiếm người dùng bằng số điện thoại và quét mã QR
I. CÁ NHÂN,6,Header ghi chú cá nhân,Header ghi chú cá nhân hiển thị các nút nghe/gọi/loa/general không cần thiết,Sửa header ghi chú cá nhân: bỏ các nút nghe/gọi/loa/general
I. CÁ NHÂN,7,Tin nhắn đã lưu,Tin nhắn đã lưu không tự động hiển thị vào mục đã lưu,Tin nhắn đã lưu tự động được hiển thị vào mục đã lưu
I. CÁ NHÂN,8,Danh sách thành viên trong chat nhóm,Chat nhóm hiển thị cả người ngoài nhóm hoặc không lọc đúng,Chat nhóm chỉ hiển thị đúng danh sách thành viên trong nhóm
I. CÁ NHÂN,9,Chuyển tiếp tin nhắn,Chưa hỗ trợ chuyển tiếp tin nhắn linh hoạt,Hỗ trợ chuyển tiếp tin nhắn đến cá nhân/nhóm/hoặc chính mình
I. CÁ NHÂN,10,Mở cửa sổ chat khi nhấn icon,Nhấn icon chat không mở trực tiếp cửa sổ chat,Khi nhấn icon chat sẽ mở trực tiếp cửa sổ chat
I. CÁ NHÂN,11,Phân loại tính năng theo loại hội thoại,Các tính năng chưa được phân đúng cho từng loại hội thoại,Phân đúng các tính năng cho 3 loại hội thoại khác nhau
